level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
46,0.25,0.85,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.159721336191315,0.6,4
47,0.25,0.85,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.159721336191315,0.6,4
48,0.25,0.9,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.9924382048133884,0.6,4
49,0.25,0.9,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.9924382048133884,0.6,4
50,0.25,0.9,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.9924382048133884,0.6,4
51,0.25,0.9500000000000001,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8108392391374775,0.6,4
52,0.25,0.9500000000000001,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8108392391374775,0.6,4
53,0.25,0.9500000000000001,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8108392391374775,0.6,4
54,0.25,1.0,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.6155494421403511,0.6,4
55,0.25,1.0,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.6155494421403511,0.6,4
56,0.25,1.0,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.6155494421403511,0.6,4
57,0.5,0.1,261.0,0.25,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,2.6732339964918896,0.6,4
58,0.5,0.1,261.0,0.5,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,2.6732339964918896,0.6,4
59,0.5,0.1,261.0,0.75,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,2.6732339964918896,0.6,4
